codigo_producto;cantidad;valor_unitario;precio_unitario;descuento;subtotal;porcentaje_de_igv;igv;total;moneda;tipo_de_cambio;id_tipo_gasto;nom_tipo_gasto;id_proveedor;id_producto;nom_producto;categoria_producto;Id_estado;Nombre_estado;id_cuenta;nom_cuenta;distribucion_analitica;evento.id_evento;evento.nom_evento;evento.Fecha_hora_ini_event;evento.Fecha_hora_fin_event;evento.id_organizador;evento.nom_organizador;evento.tipo_organizador;factura.serie_correlativo;factura.numero;factura.fecha_emision;factura.cliente;factura.id_cliente;factura.total;factura.moneda;factura.estado
100;1;30.0;30.0;;30.0;0.0;0.0;30.0;1;;;Otros;1113;1780;SAMUEL CHUQUISTA: COMIDA;EVENTOS;posted;Publicado;6726;6314100 Alimentación;[[{'código': 84, 'nom_distribucion': '[Impresos] OPERATIVOS', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;COMIDA;COMIDA;2025-06-23;;;;;
100;1;50.0;59.0;;50.0;18.0;9.0;59.0;1;;;Otros;1555;1789;COMIDA;EVENTOS;posted;Publicado;6974;1011104 Caja chica Responsable 2;[[{'código': 84, 'nom_distribucion': '[Impresos] OPERATIVOS', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;FXG;00007;2025-06-13;;;;;
100;1;25.0;25.0;;25.0;0.0;0.0;25.0;1;;;Otros;3;1780;SAMUEL CHUQUISTA: DELIVERY;EVENTOS;posted;Publicado;6726;6314100 Alimentación;[[{'código': 81, 'nom_distribucion': '[Impresos] DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;DELIVERY;DELIVERY;2025-06-13;;;;;
100;1;33.9;40.0;;33.9;17.99;6.100000000000001;40.0;1;;;Otros;3;1785;SAMUEL CHUQUISTA: movilidad;Expenses;posted;Publicado;877;6329000 Advice and consultancy - Others;[[{'código': 56, 'nom_distribucion': '[Administrativo] CONTABLE', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;cenadeaniversariovaope;cena de aniversario vaope;2025-06-04;;;;;
100;1;1694.92;2000.0;;1694.92;18.0;305.0799999999999;2000.0;1;;;Otros;3;1780;SAMUEL CHUQUISTA: cena de aniversario vaope;EVENTOS;posted;Publicado;6726;6314100 Alimentación;[[{'código': 55, 'nom_distribucion': '[Administrativo] COMIDA', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;cenadeaniversariovaope;cena de aniversario vaope;2025-06-04;;;;;
100;1;63.56;75.0;;63.56;18.0;11.439999999999998;75.0;1;;;Otros;3;1780;SAMUEL CHUQUISTA: comida;EVENTOS;posted;Publicado;877;6329000 Advice and consultancy - Others;[[{'código': 55, 'nom_distribucion': '[Administrativo] COMIDA', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;comida;comida;2025-06-04;;;;;
100;1;50.85;60.0;;50.85;17.99;9.149999999999999;60.0;1;;;Otros;3;1780;SAMUEL CHUQUISTA: compra de agua;EVENTOS;posted;Publicado;6726;6314100 Alimentación;[[{'código': '', 'nom_distribucion': '', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;compradeagua;compra de agua;2025-06-02;;;;;
100;1;60.0;60.0;;60.0;0.0;0.0;60.0;1;;;Otros;3;1780;SAMUEL CHUQUISTA: compra de agua;EVENTOS;posted;Publicado;6576;4211101 Facturas, bol. y otros No emitidas MN;[[{'código': '', 'nom_distribucion': '', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;Compraagua;Compra agua;2025-06-02;;;;;
100;1;31.27;36.9;;31.27;18.0;5.629999999999999;36.9;1;;;Otros;1586;1766;PASAJE DE BUS ZE CARLOS RETORNO;EVENTOS;posted;Publicado;6727;6315100 Otros gastos de viaje;[[{'código': 132, 'nom_distribucion': '[Validadores] VIÁTICOS', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;BILL;0003;2025-06-02;;;;;
100;1;308.82;364.41;;308.82;18.0;55.59000000000003;364.41;1;;;Otros;1555;1654;BRAZALETE TYVEK;EVENTOS;posted;Publicado;6962;602112 Insumos;[[{'código': 83, 'nom_distribucion': '[Impresos] INSUMO', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;BILL;0005;2025-06-02;;;;;
100;1;149.97;176.96;;149.97;18.0;26.99000000000001;176.96;1;;;Otros;1392;1745;ESCOBA, RECOGEDOR Y 2 TACHOS PARA OFICINA;EVENTOS;posted;Publicado;6733;6326100 PROYECTO Y DESARROLLO;[[{'código': 110, 'nom_distribucion': '[Administrativo] PROYECTO', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;;;BILL;0004;2025-06-02;;;;;
